################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         18   5.7485161297593659E-05   5.6704347475877770E-02   2.0751242479452540E-02   7.2790207725134774E-03
         1         19   3.7937631629716383E-06   4.4789516076805022E-02   1.6338823698107987E-02   5.6967712606261160E-03
         1         20   2.4960312085019903E-02   2.7218197030245517E-01   1.3743696285440937E-01   2.8868015901657423E-02
         1         21   2.2980773998953256E-03   4.9986220828384470E-02   1.6950824167726752E-02   5.4132966616364337E-03
         1         22   2.0814361457387778E-07   1.7422614782322748E-02   5.8877295715452907E-03   2.3169759281881134E-03
         1         23   2.3616425302076981E-02   1.4766564930840750E-01   7.8026009579545169E-02   1.4328402520229969E-02
         1         24   9.3734209417262540E-06   1.2706009724968383E-02   3.8602266983488245E-03   1.5349222936123085E-03
         1         25   6.7292482219397467E-04   1.3437347615997143E-02   3.5879997188162059E-03   1.0083099406231117E-03
         1         26   8.9492218473814448E-03   4.7435519247870893E-02   2.4574480321592825E-02   3.7562620321716748E-03
         1         27   2.9688834832940051E-04   1.0922315444849038E-02   2.4362779164791818E-03   7.5891040984896836E-04
         2          1   7.1532528297088083E-01   4.0098976770174595E+00   2.5989042197937402E+00   3.8240252948891079E-01
         2          2   5.6301628567420527E-02   1.6234842194053070E+00   9.3805754679203801E-01   1.8736449645837711E-01
         2          3   6.5703695712707699E-01   3.0791315022675048E+00   1.9948820209043081E+00   2.7857971836048634E-01
         2          4   3.1024606077905838E-02   1.1551308858105025E+00   6.4059931260962999E-01   1.3511922517043462E-01
         2          5   5.8421509973169194E-01   1.9420240206857451E+00   1.2814107009923554E+00   1.5028032758627749E-01
         2          6   8.7055091560538176E-03   5.7824321471805962E-01   2.9826715576421958E-01   6.8317345917309452E-02
         2          7   4.9061923640751393E-01   1.1928444832852640E+00   8.4317529142720060E-01   7.3313958696522061E-02
         2          8   1.4113901292375167E-03   2.2139468783209257E-01   1.0800688415169930E-01   2.7030088273230075E-02
         2          9   4.9849874092941715E-01   9.8733752198909885E-01   7.2610545889255551E-01   5.0426765272679683E-02
         2         10   6.2957062567264221E-03   9.5794186401597337E-01   4.6455014321576626E-01   1.1560059533210355E-01
         2         11   3.6577588459988464E-01   7.7230200150326977E-01   5.4625967744523263E-01   3.4592870857206547E-02
         2         12   8.7085544804932510E-04   6.5807276191584230E-01   3.0944891033609356E-01   8.5000814741669858E-02
         2         13   1.8948992752075242E-01   5.7888624801215693E-01   3.8909315424335084E-01   3.4526650397123992E-02
         2         14   1.5622199228642329E-05   4.9780490905368319E-01   1.6953376146057855E-01   6.2315791454946576E-02
         2         15   3.3004285384528591E-02   4.0762166080748574E-01   1.7406078768468752E-01   3.4501395384273041E-02
         2         16   1.0729012446445082E-10   2.7047079448224992E-01   4.4653384790197939E-02   3.1107465231072679E-02
         2         17   1.0846205849416071E-05   3.9543401427987353E-02   1.5074459823996010E-02   4.7702333660869546E-03
         2         18   7.4829063908554593E-11   2.5884908058550057E-03   6.5717634939948730E-04   3.2655127951477017E-04
         2         19   3.6205850570885452E-03   4.3221294145342604E-01   1.8756542069538720E-01   5.3162621310716265E-02
         2         20   3.8440097917265245E-07   3.6534575078121363E-02   9.8772821155134766E-03   5.2062500369707415E-03
         2         21   2.6911400517410067E-03   6.4611970894949161E-02   2.9305443392707013E-02   6.1496063694629561E-03
         2         22   1.2827584708500362E-03   1.7529487759454226E-01   6.8509716444031241E-02   2.2077211658804545E-02
         2         23   1.5545977333502778E-02   9.9331349879191635E-02   4.7998454143224963E-02   8.6592611829801273E-03
         2         24   1.5745634781781375E-05   1.9308534172604155E-02   6.0894070240362363E-03   2.3678290544763840E-03
         2         25   8.5856663153437229E-11   1.3944217824039388E-03   2.2274994125481308E-04   1.8366900313163598E-04
         2         26   9.1829498430736033E-03   1.1557634414039414E-01   4.6978379604047084E-02   1.2100545333930859E-02
         2         27   1.7898602665033226E-04   8.1694699794021677E-02   3.2902418055540207E-02   9.9562973177386039E-03
         2         28   7.4320386544780976E-10   3.9418035349310827E-03   6.3479370917995861E-04   5.2607016457668389E-04
         2         29   6.3415719088815280E-03   3.9243185159612948E-02   1.6708820854971270E-02   2.8310386784519571E-03
         2         30   2.8195782382410411E-03   3.2846540596866002E-02   1.1453659185437726E-02   2.6398096406069151E-03
